"ID","CategoryID","SkillCostsID","DisplayName_Lang_enUS","DisplayName_Lang_enGB","DisplayName_Lang_koKR","DisplayName_Lang_frFR","DisplayName_Lang_deDE","DisplayName_Lang_enCN","DisplayName_Lang_zhCN","DisplayName_Lang_enTW","DisplayName_Lang_zhTW","DisplayName_Lang_esES","DisplayName_Lang_esMX","DisplayName_Lang_ruRU","DisplayName_Lang_ptPT","DisplayName_Lang_ptBR","DisplayName_Lang_itIT","DisplayName_Lang_Unk","DisplayName_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","SpellIconID","AlternateVerb_Lang_enUS","AlternateVerb_Lang_enGB","AlternateVerb_Lang_koKR","AlternateVerb_Lang_frFR","AlternateVerb_Lang_deDE","AlternateVerb_Lang_enCN","AlternateVerb_Lang_zhCN","AlternateVerb_Lang_enTW","AlternateVerb_Lang_zhTW","AlternateVerb_Lang_esES","AlternateVerb_Lang_esMX","AlternateVerb_Lang_ruRU","AlternateVerb_Lang_ptPT","AlternateVerb_Lang_ptBR","AlternateVerb_Lang_itIT","AlternateVerb_Lang_Unk","AlternateVerb_Lang_Mask","CanLink"
"51","7","0","Survival","생존","Survie","Überleben","生存技能","","Supervivencia","Supervivencia","Выживание","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","257","","","","","","","","","","","","","","","","","16712172","0"
"54","6","0","Maces","둔기류","Masse","Streitkolben","单手锤","","Mazas","Mazas","Дробящее оружие","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"55","6","0","Two-Handed Swords","양손 도검류","Epées à deux mains","Zweihandschwerter","双手剑","","Espadas de dos manos","Espadas de dos manos","Двуручные мечи","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"56","7","0","Holy","신성","Sacré","Heilig","神圣","","Sagrado","Sagrado","Свет","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","70","","","","","","","","","","","","","","","","","16712172","0"
"78","7","0","Shadow Magic","암흑","Magie de l'ombre","Schattenmagie","暗影魔法","","Magia sombría","Magia sombría","Темная магия","","","","","","","","16712191","","","","","","","","","","","","","","","","","16712188","234","","","","","","","","","","","","","","","","","16712172","0"
"95","6","0","Defense","방어","Défense","Verteidigung","防御","","Defensa","Defensa","Защита","","","","","","","","16712190","Higher defense improves your chance to dodge, parry, and block attacks, makes you harder to hit,  and makes monsters less likely to land a critical strike against you.","방어 숙련도가 높을수록 회피, 무기 막기, 방패 막기 및 적의 공격이 빗나갈 확률이 높아지며 적의 치명타 적중률이 낮아집니다.","Une plus haute défense améliore vos chances d'esquiver, de parer ou de bloquer, vous rend plus difficile à toucher et diminue les chances que les monstres vous infligent un coup critique.","Eine höhere Verteidigungsferti","防御越高，你躲闪、招架和格挡攻击的几率就越高，因此越难以被击","","Con una defensa alta tendrás más posibilidades de esquivar, parar o bloquear ataques, así que será más difícil que te acierte un golpe y que los monstruos te asesten un golpe crítico.","Con una defensa alta tendrás más posibilidades de esquivar, parar o bloquear ataques, así que será más difícil que te acierte un golpe y que los monstruos te asesten un golpe crítico.","Чем лучше развит этот навык, тем выше ваши шансы на успешное парирование, блок или уклонение от атаки противника. Кроме того, развитие этого навыка снижает вероятность получения критического урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"98","10","0","Language: Common","언어: 공용어","Langue : commun","Sprache: Gemeinsprache","语言：通用语","","Idioma: común","Idioma: común","Язык: всеобщий","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"101","9","0","Dwarven Racial","드워프 종족 특성","Raciale nain","Zwergenvolk","矮人种族特长","","Racial enano","Racial enano","Расовый навык дворфов","","","","","","","","16712191","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"109","10","0","Language: Orcish","언어: 오크어","Langue : orc","Sprache: Orcisch","语言：兽人语","","Idioma: orco","Idioma: orco","Язык: орочий","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"111","10","0","Language: Dwarven","언어: 드워프어","Langue : nain","Sprache: Zwergisch","语言：矮人语","","Idioma: enánico","Idioma: enánico","Язык: дворфийский","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"113","10","0","Language: Darnassian","언어: 나이트 엘프어","Langue : darnassien","Sprache: Darnassisch","语言：达纳苏斯语","","Idioma: darnassiano","Idioma: darnassiano","Язык: дарнасский","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"115","10","0","Language: Taurahe","언어: 타우렌어","Langue : taurahe","Sprache: Taurisch","语言：牛头人语","","Idioma: taurahe","Idioma: taurahe","Язык: таурахэ","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"118","6","0","Dual Wield","쌍수 무기","Ambidextrie","Beidhändigkeit","双武器","","Doble empuñadura","Doble empuñadura","Бой двумя руками","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"124","9","0","Tauren Racial","타우렌 종족 특성","Raciale tauren","Taurenvolk","牛头人种族特长","","Racial tauren","Racial tauren","Расовый навык тауренов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"125","9","0","Orc Racial","오크 종족 특성","Raciale orc","Orcvolk","兽人种族特长","","Racial orco","Racial orco","Расовый навык орков","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"126","9","0","Night Elf Racial","나이트 엘프 족종 특성","Raciale elfe de la nuit","Nachtelfenvolk","暗夜精灵种族特长","","Racial elfo de la noche","Racial elfo de la noche","Расовый навык ночных эльфов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"129","9","0","First Aid","응급치료","Secourisme","Erste Hilfe","急救","","Primeros auxilios","Primeros auxilios","Первая помощь","","","","","","","","16712190","Higher first aid skill allows you to learn higher level first aid abilities.  First aid abilities can be found on trainers around the world as well as from quests and as drops from monsters.","응급치료 숙련도가 올라갈수록 고급 응급치료술을 배울 수 있습니다. 응급치료술은 전문 응급치료사나 퀘스트로 배울 수 있습니다.","Une compétence plus élevée en secourisme vous permet d'apprendre à mieux soigner. Il est possible d'augmenter cette compétence grâce à des professeurs, aux monstres que vous tuez ou en récompense de quêtes.","Eine hohe Fertigkeit in Erster","高级的急救技能使你可以学习高级的急救能力。你可以在训练师那里","","Con un nivel alto de habilidad en primeros auxilios, aprenderás primeros auxilios de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlas.","Con un nivel alto de habilidad en primeros auxilios, aprenderás primeros auxilios de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlas.","Чем лучше развит этот навык, тем более сложные медицинские приемы вы можете применять. Медицинские приемы можно узнать у учителей, а также получить в качестве добычи или награды.","","","","","","","","16712190","504","","","","","","","","","","","","","","","","","16712172","1"
"134","7","0","Feral Combat","야성","Combat farouche","Wilder Kampf","野性战斗","","Combate feral","Combate feral","Сила зверя","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","107","","","","","","","","","","","","","","","","","16712172","0"
"136","6","0","Staves","지팡이류","Bâtons","Stäbe","法杖","","Bastones","Bastones","Посохи","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"137","10","0","Language: Thalassian","언어: 하이엘프어","Langue : thalassien","Sprache: Thalassisch","语言：萨拉斯语","","Idioma: thalassiano","Idioma: thalassiano","Язык: талассийский","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"138","10","0","Language: Draconic","언어: 용언","Langue : draconique","Sprache: Drachisch","语言：龙语","","Idioma: dracónico","Idioma: dracónico","Язык: драконий","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"139","10","0","Language: Demon Tongue","언어: 악마어","Langue : démoniaque","Sprache: Dämonisch","语言：恶魔语","","Idioma: demoníaco","Idioma: demoníaco","Язык: наречие демонов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"140","10","0","Language: Titan","언어: 티탄어","Langue : titan","Sprache: Titanisch","语言：泰坦语","","Idioma: titánico","Idioma: titánico","Язык: наречие титанов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"141","10","0","Language: Old Tongue","언어: 고대어","Langue : langue ancienne","Sprache: Alte Sprache","语言：古代语","","Idioma: lengua antigua","Idioma: lengua antigua","Язык: древний","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"142","9","0","Survival","야영","Survie","Überlebenskunst","生存技能","","Supervivencia","Supervivencia","Выживание","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"148","9","0","Horse Riding","말 타기","Equitation","Pferdreiten","骑术：马","","Montar caballos","Montar caballos","Езда на лошадях","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"149","9","0","Wolf Riding","늑대 타기","Monte de loup","Wolfreiten","骑术：狼","","Montar lobos","Montar lobos","Езда на волках","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"150","9","0","Tiger Riding","호랑이 타기","Monte de tigre","Tigerreiten","骑术：豹","","Montar tigres","Montar tigres","Езда на тиграх","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"152","9","0","Ram Riding","산양 타기","Monte de bélier","Widderreiten","骑术：羊","","Montar carneros","Montar carneros","Езда на баранах","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"155","9","0","Swimming","수영","Natation","Schwimmen","游泳","","Nadar","Nadar","Плавание","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"160","6","0","Two-Handed Maces","양손 둔기류","Masses à deux mains","Zweihandstreitkolben","双手锤","","Mazas de dos manos","Mazas de dos manos","Двуручное дробящее оружие","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"162","6","0","Unarmed","맨손 전투","Mains nues","Unbewaffnet","徒手战斗","","Sin armas","Sin armas","Рукопашный бой","","","","","","","","16712191","Higher skill increases your chance to hit.","숙련도가 올라갈수록 적중률이 높아집니다.","Une compétence plus élevée augmente vos chances de toucher.","Eine erhöhte Fertigkeit steige","此技能等级越高，你击中目标的几率越高。","","Cuanto mayor sea tu nivel de habilidad, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"163","7","0","Marksmanship","사격","Précision","Treffsicherheit","射击","","Puntería","Puntería","Стрельба","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","126","","","","","","","","","","","","","","","","","16712172","0"
"164","11","0","Blacksmithing","대장기술","Forge","Schmiedekunst","锻造","","Herrería","Herrería","Кузнечное дело","","","","","","","","16712190","Higher smithing skill allows you to learn higher level smithing plans.  Blacksmithing plans can be found on trainers around the world as well as from quests and monsters.","대장기술 숙련도가 올라갈수록 고레벨의 대장기술 도면을 배울 수 있습니다. 도면은 전문 대장장이나 퀘스트를 통해 배우거나 몬스터에게서 얻을 수 있습니다.","Un plus haut score dans la compétence forge vous permet d’apprendre des plans plus difficiles. Les plans pour forgerons se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.","Eine hohe Schmiedefertigkeit e","高级的锻造技能使你可以学习高级的锻造设计图。你可以在训练师那","","Con un nivel alto de habilidad en herrería, podrás aprender mejores diseños de herrería. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlos.","Con un nivel alto de habilidad en herrería, podrás aprender mejores diseños de herrería. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlos.","Чем лучше развит этот навык, тем более сложные кузнечные чертежи вы можете использовать. Чертежи можно найти у учителей, а также получить в качестве добычи или награды.","","","","","","","","16712190","335","Modify","개조","Modifier","Umarbeiten","修改","","Transformar","Transformar","Выковать","","","","","","","","16712190","1"
"165","11","0","Leatherworking","가죽세공","Travail du cuir","Lederverarbeitung","制皮","","Peletería","Peletería","Кожевничество","","","","","","","","16712190","Higher leatherworking skill allows you to learn higher level leatherworking patterns.  Leatherworking patterns can be found on trainers around the world as well as from quests and monsters.","가죽세공 숙련도가 올라갈수록 고레벨의 가죽세공 도안을 배울 수 있습니다. 도안은 전문 가죽세공인이나 퀘스트를 통해 배우거나 몬스터에게서 얻을 수 있습니다.","Une compétence plus élevée dans le travail du cuir vous permet d'apprendre des patrons plus difficiles. Ces patrons peuvent être trouvés auprès de maîtres un peu partout dans le monde, sur des monstres ou en récompense de quêtes.","Eine hohe Lederverarbeitungsfe","高级的制皮技能使你可以学习高级的制皮图样。你可以在训练师那里","","Con un nivel alto de habilidad en peletería, podrás aprender patrones de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlos.","Con un nivel alto de habilidad en peletería, podrás aprender patrones de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlos.","Чем лучше развит этот навык, тем более сложные выкройки для кожи вы можете использовать. Выкройки можно найти у учителей, а также получить в качестве добычи или награды.","","","","","","","","16712190","346","Emboss","새김무늬","Estamper","Prägen","雕饰","","Remachar","Remachar","Украсить","","","","","","","","16712190","1"
"171","11","0","Alchemy","연금술","Alchimie","Alchemie","炼金术","","Alquimia","Alquimia","Алхимия","","","","","","","","16712190","Higher alchemy skill allows you to learn higher level alchemy recipes.  Alchemy recipes can be found on trainers around the world as well as from quests and monsters.","연금술 숙련도가 올라갈수록 고레벨의 연금술 조제법을 배울 수 있습니다. 조제법은 전문 연금술사나 퀘스트를 통해 배우거나 몬스터에게서 얻을 수 있습니다.","Un plus haut score dans la compétence alchimie vous permet d’apprendre des recettes plus difficiles. Les recettes d'alchimie se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.","Eine hohe Alchemiefertigkeit e","高级的炼金术技能使你可以学习高级的炼金术配方。你可以在训练师","","Con un nivel alto de habilidad en alquimia, podrás aprender recetas de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlas.","Con un nivel alto de habilidad en alquimia, podrás aprender recetas de nivel superior. Visita a los instructores dispersos por el mundo, completa misiones y derrota a los monstruos para conseguirlas.","Чем лучше развит этот навык, тем более сложные рецепты вы можете использовать. Рецепты можно найти у учителей, а также получить в качестве добычи или награды.","","","","","","","","16712190","339","Refill","보충","Remplir","Nachfüllen","装填","","Rellenar","Rellenar","Наполнить","","","","","","","","16712190","1"
"172","6","0","Two-Handed Axes","양손 도끼류","Haches à deux mains","Zweihandäxte","双手斧","","Hachas de dos manos","Hachas de dos manos","Двуручные топоры","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"173","6","0","Daggers","단검류","Dagues","Dolche","匕首","","Dagas","Dagas","Кинжалы","","","","","","","","16712191","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"176","6","0","Thrown","투척 무기류","Armes de jet","Wurfwaffen","投掷武器","","Armas arrojadizas","Armas arrojadizas","Метательное оружие","","","","","","","","16712190","Higher weapon skill increases your chance to hit.","무기 숙련이 올라갈수록 적중률이 높아집니다.","Une compétence d’arme plus élévée augmente vos chances de toucher.","Eine erhöhte Waffenfertigkeit ","武器技能越高，用该武器击中敌人的几率就越高。","","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Cuanto mayor sea tu nivel de habilidad con las armas, mayor será la probabilidad de acertar al dar un golpe.","Чем лучше развит этот навык, тем больше вероятность нанесения урона.","","","","","","","","16712190","1","","","","","","","","","","","","","","","","","16712172","0"
"182","11","0","Herbalism","약초채집","Herboristerie","Kräuterkunde","草药学","","Herboristería","Herboristería","Травничество","","","","","","","","16712190","Higher herbalism skill allows you to harvest more difficult herbs around the world.  If you cannot harvest a specific herb, then increase your skill by harvesting easier to gather herbs in lower level areas.","약초채집 숙련도가 올라갈수록 좀더 희귀한 약초를 채집할 수 있습니다. 특정한 약초을 채집할 수 없다면 그 전 단계의 쉬운 약초를 채집하여 숙련도를 올리십시오.","Une compétence plus élevée en Herboristerie vous permet de récolter des herbes plus difficiles. Si vous ne pouvez pas récolter une herbe donnée, augmentez votre score en récoltant des herbes plus accessibles dans des zones de niveau inférieur.","Eine hohe Kräuterkundefertigke","高级的草药学技能使你可以采集高级的草药。如果你不能采集某种草","","Con un nivel alto de habilidad en herboristería podrás recolectar hierbas difíciles de encontrar por el mundo. Si no puedes conseguir una hierba en particular, aumenta tu habilidad recolectando hierbas más fáciles de conseguir en áreas de nivel inferior.","Con un nivel alto de habilidad en herboristería podrás recolectar hierbas difíciles de encontrar por el mundo. Si no puedes conseguir una hierba en particular, aumenta tu habilidad recolectando hierbas más fáciles de conseguir en áreas de nivel inferior.","Чем лучше развит этот навык, тем больше различных видов растений вы можете собирать. Если вам не удается собрать какое-либо растение, потренируйтесь на простых травах, растущих в областях более низкого уровня.","","","","","","","","16712190","345","","","","","","","","","","","","","","","","","16712172","0"
"183","12","0","GENERIC (DND)","일반 (DND)","GENERIQUE (DND)","ALLGEMEIN (DND)","GENERIC (DND)","","COMÚN (DND)","COMÚN (DND)","GENERIC (DND)","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","1","","","","","","","","","","","","","","","","","16712172","0"
"184","7","0","Retribution","징벌","Vindicte","Vergeltung","惩戒","","Reprensión","Reprensión","Воздаяние","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","555","","","","","","","","","","","","","","","","","16712172","0"
