"ID","Flags","FactionID","ExplorationSoundID","MaleDisplayId","FemaleDisplayId","ClientPrefix","BaseLanguage","CreatureType","ResSicknessSpellID","SplashSoundID","ClientFilestring","CinematicSequenceID","Alliance","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Name_Female_Lang_enUS","Name_Female_Lang_enGB","Name_Female_Lang_koKR","Name_Female_Lang_frFR","Name_Female_Lang_deDE","Name_Female_Lang_enCN","Name_Female_Lang_zhCN","Name_Female_Lang_enTW","Name_Female_Lang_zhTW","Name_Female_Lang_esES","Name_Female_Lang_esMX","Name_Female_Lang_ruRU","Name_Female_Lang_ptPT","Name_Female_Lang_ptBR","Name_Female_Lang_itIT","Name_Female_Lang_Unk","Name_Female_Lang_Mask","Name_Male_Lang_enUS","Name_Male_Lang_enGB","Name_Male_Lang_koKR","Name_Male_Lang_frFR","Name_Male_Lang_deDE","Name_Male_Lang_enCN","Name_Male_Lang_zhCN","Name_Male_Lang_enTW","Name_Male_Lang_zhTW","Name_Male_Lang_esES","Name_Male_Lang_esMX","Name_Male_Lang_ruRU","Name_Male_Lang_ptPT","Name_Male_Lang_ptBR","Name_Male_Lang_itIT","Name_Male_Lang_Unk","Name_Male_Lang_Mask","FacialHairCustomization_1","FacialHairCustomization_2","HairCustomization","Required_Expansion"
"12","6","1","4143","29422","29423","Wo","7","7","15007","1096","Worgen","61","0","Worgen","늑대인간","Worgen","Worgen","狼人","","Huargen","Huargen","Ворген","","","","","","","","16712190","","","Worgen","","","","Huargen","Huargen","","","","","","","","","16712172","","","Worgen","Worgen","","","Huargen","Huargen","Ворген","","","","","","","","16712172","FEATURES","EARS","NORMAL","0"
"13","12","1","4140","15476","15475","He","7","7","15007","1096","HighElf","81","0","High Elf","하이 엘프","Elfe haut","Hochelf","高精灵","","Elfo alto","Elfo alto","Кел'Дорей","","","","","","","","16712190","","","Elfe haute","Hochelfe","","","Elfa alta","Elfa alta","Кел'Дорейка","","","","","","","","16712172","","","Elfe haute","Hochelf","","","Elfo alto","Elfo alto","Кел'Дорей","","","","","","","","16712172","NORMAL","EARRINGS","NORMAL","0"
"14","5","1","0","17576","17577","Br","7","7","15007","1096","Broken","0","2","Broken","뒤틀린 드레나이","Roué","Zerschlagener","破碎者","","Tábido","Tábido","Падший","","","","","","","","16712190","","","Rouée","","","","Tábida","Tábida","Падшая","","","","","","","","16712172","","","Roué","Zerschlagener","","","Tábido","Tábido","Падший","","","","","","","","16712172","Normal","Normal","Normal","0"
"15","1","1","0","17578","17579","Sk","7","7","15007","1096","Skeleton","0","2","Skeleton","해골","Squelette","Skelett","骷髅","","Esqueleto","Esqueleto","Скелет","","","","","","","","16712190","","","Squelette","","","","Esqueleto","Esqueleto","","","","","","","","","16712172","","","Squelette","Skelett","","","Esqueleto","Esqueleto","Скелет","","","","","","","","16712172","Normal","Normal","Normal","0"
"16","9","1","0","21685","21686","Vr","7","7","15007","1096","Vrykul","0","2","Vrykul","브리쿨","Vrykul","Vrykul","维库人","","Vrykul","Vrykul","Врайкул","","","","","","","","16712190","","","Vrykule","","","","Vrykul","Vrykul","","","","","","","","","16712172","","","Vrykul","Vrykul","","","Vrykul","Vrykul","Врайкул","","","","","","","","16712172","Normal","Normal","Normal","0"
"17","1","1","0","21780","21781","Tu","7","7","15007","1096","Tuskarr","0","2","Tuskarr","투스카르","Rohart","Tuskarr","海象人","","Colmillarr","Colmillarr","Клыкарр","","","","","","","","16712190","","","Rohart","","","","Colmillarr","Colmillarr","","","","","","","","","16712172","","","Rohart","Tuskarr","","","Colmillarr","Colmillarr","Клыкарр","","","","","","","","16712172","Normal","Normal","Normal","0"
"18","15","1","0","21963","21964","Ft","7","7","15007","1096","ForestTroll","0","2","Forest Troll","숲 트롤","Troll des forêts","Waldtroll","森林巨魔","","Trol de bosque","Trol de bosque","Лесной тролль","","","","","","","","16712190","","","Trollesse des forêts","","","","Trol de bosque","Trol de bosque","","","","","","","","","16712172","","","Troll des forêts","Waldtroll","","","Trol de bosque","Trol de bosque","Лесной тролль","","","","","","","","16712172","TUSKS","TUSKS","Normal","0"
"19","5","1","0","26316","26317","Wt","7","7","15007","1096","Taunka","0","2","Taunka","타운카","Taunka","Taunka","牦牛人","","Taunka","Taunka","Таунка","","","","","","","","16712190","","","Taunka","","","","Taunka","Taunka","Таунка","","","","","","","","16712172","","","Taunka","Taunka","","","Taunka","Taunka","Таунка","","","","","","","","16712172","Normal","Normal","Normal","0"
"20","5","1","0","26871","26872","NS","7","7","15007","1096","NorthrendSkeleton","0","2","Northrend Skeleton","노스렌드 해골","Squelette du Norfendre","Skelett aus Nordend","诺森德骷髅","","Esqueleto de Rasganorte","Esqueleto de Rasganorte","Нордскольский скелет","","","","","","","","16712190","","","Squelette du Norfendre","","","","Esqueleto de Rasganorte","Esqueleto de Rasganorte","","","","","","","","","16712172","","","Squelette du Norfendre","Skelett aus Nordend","","","Esqueleto de Rasganorte","Esqueleto de Rasganorte","Нордскольский скелет","","","","","","","","16712172","Normal","Normal","Normal","0"
"21","5","1","0","26873","26874","It","7","7","15007","1096","IceTroll","0","2","Ice Troll","얼음 트롤","Troll des glaces","Eistroll","冰巨魔","","Trol de hielo","Trol de hielo","Ледяной тролль","","","","","","","","16712190","","","Trollesse des glaces","","","","Trol de hielo","Trol de hielo","","","","","","","","","16712172","","","Troll des glaces","Eistroll","","","Trol de hielo","Trol de hielo","Ледяной тролль","","","","","","","","16712172","Normal","Normal","Normal","0"
"22","1","1","0","17402","17403","Na","7","7","15007","1096","Naga_","0","2","Naga","나가","Naga","Naga","纳迦","","Naga","Naga","Нага","","","","","","","","16712190","","","Naga","","","","Naga","Naga","Нага","","","","","","","","16712172","","","Naga","Naga","","","Naga","Naga","Наг","","","","","","","","16712172","Normal","Normal","Normal","0"
